00000_00000.ppm;56;57;6;5;51;52;1
00000_00001.ppm;55;57;5;6;50;52;1
00000_00002.ppm;56;56;5;6;51;51;1
00000_00003.ppm;58;58;6;6;53;52;1
00000_00004.ppm;59;59;6;6;54;53;1
00000_00005.ppm;57;59;5;6;52;54;1
00000_00006.ppm;57;59;5;5;52;54;1
00000_00007.ppm;57;59;5;5;52;53;1
00000_00008.ppm;60;60;6;6;54;54;1
00000_00009.ppm;61;61;5;6;55;56;1
00000_00010.ppm;61;62;5;6;56;57;1
00000_00011.ppm;63;62;5;5;57;57;1
00000_00012.ppm;65;65;5;6;59;60;1
00000_00013.ppm;68;68;7;7;62;62;1
00000_00014.ppm;68;69;7;7;62;63;1
00000_00015.ppm;69;70;7;7;63;64;1
00000_00016.ppm;71;72;6;6;65;66;1
00000_00017.ppm;72;74;6;6;66;67;1
00000_00018.ppm;74;74;6;6;68;68;1
00000_00019.ppm;79;80;7;8;72;73;1
00000_00020.ppm;81;81;8;8;74;74;1
00000_00021.ppm;82;82;7;7;75;75;1
00000_00022.ppm;85;86;7;7;78;78;1
00000_00023.ppm;89;88;8;7;82;81;1
00000_00024.ppm;93;94;8;9;84;85;1
00000_00025.ppm;97;96;9;8;88;88;1
00000_00026.ppm;100;104;9;9;92;95;1
00000_00027.ppm;105;107;10;9;96;98;1
00000_00028.ppm;108;110;10;9;99;101;1
00000_00029.ppm;114;118;10;11;104;108;1
00001_00000.ppm;30;32;5;5;25;27;1
00001_00001.ppm;30;33;5;6;25;28;1
00001_00002.ppm;31;33;5;6;25;28;1
00001_00003.ppm;32;33;6;6;26;28;1
00001_00004.ppm;32;33;5;6;26;28;1
00001_00005.ppm;34;33;6;5;29;28;1
00001_00006.ppm;36;34;6;5;31;29;1
00001_00007.ppm;37;35;6;5;32;30;1
00001_00008.ppm;37;36;5;5;31;30;1
00001_00009.ppm;38;37;6;5;33;31;1
00001_00010.ppm;38;39;5;6;33;34;1
00001_00011.ppm;38;39;5;5;33;33;1
00001_00012.ppm;39;39;5;5;34;34;1
00001_00013.ppm;39;41;5;6;34;35;1
00001_00014.ppm;40;42;5;6;35;36;1
00001_00015.ppm;42;43;5;6;37;38;1
00001_00016.ppm;44;45;5;6;38;39;1
00001_00017.ppm;44;46;5;6;39;40;1
00001_00018.ppm;46;46;6;6;41;41;1
00001_00019.ppm;48;46;6;5;42;41;1
00001_00020.ppm;48;48;5;5;43;43;1
00001_00021.ppm;51;50;6;5;46;45;1
00001_00022.ppm;53;53;6;6;48;48;1
00001_00023.ppm;55;54;6;6;49;49;1
00001_00024.ppm;57;55;6;5;52;49;1
00001_00025.ppm;59;57;6;6;54;52;1
00001_00026.ppm;61;57;6;5;56;52;1
00001_00027.ppm;63;60;5;5;58;54;1
00001_00028.ppm;68;61;7;5;62;56;1
00001_00029.ppm;71;67;6;6;65;61;1
00002_00000.ppm;46;48;6;6;41;43;1
00002_00001.ppm;45;47;5;5;40;42;1
00002_00002.ppm;46;48;6;6;41;43;1
00002_00003.ppm;46;47;6;5;41;42;1
00002_00004.ppm;46;47;6;5;41;42;1
00002_00005.ppm;46;48;6;6;41;43;1
00002_00006.ppm;47;49;5;5;41;43;1
00002_00007.ppm;50;50;6;5;45;45;1
00002_00008.ppm;50;51;6;6;45;46;1
00002_00009.ppm;49;50;5;5;44;45;1
00002_00010.ppm;50;51;6;5;45;45;1
00002_00011.ppm;52;53;6;5;47;47;1
00002_00012.ppm;52;55;5;6;47;50;1
00002_00013.ppm;52;55;5;6;47;50;1
00002_00014.ppm;54;56;6;6;49;51;1
00002_00015.ppm;52;55;6;5;47;50;1
00002_00016.ppm;53;55;6;5;47;49;1
00002_00017.ppm;54;56;6;6;48;50;1
00002_00018.ppm;56;57;6;6;50;52;1
00002_00019.ppm;57;56;6;5;52;51;1
00002_00020.ppm;57;57;6;6;52;52;1
00002_00021.ppm;58;58;6;6;53;53;1
00002_00022.ppm;60;59;5;5;54;54;1
00002_00023.ppm;62;63;5;6;57;58;1
00002_00024.ppm;63;64;5;6;58;59;1
00002_00025.ppm;63;64;5;6;58;59;1
00002_00026.ppm;64;64;5;6;59;59;1
00002_00027.ppm;70;68;6;7;64;62;1
00002_00028.ppm;72;69;6;6;66;63;1
00002_00029.ppm;74;70;7;6;68;64;1
00003_00000.ppm;25;26;5;6;20;21;1
00003_00001.ppm;27;27;6;6;21;22;1
00003_00002.ppm;27;27;6;5;21;21;1
00003_00003.ppm;28;28;6;5;22;22;1
00003_00004.ppm;27;30;5;6;22;24;1
00003_00005.ppm;29;31;5;6;23;25;1
00003_00006.ppm;29;32;5;6;24;26;1
00003_00007.ppm;33;33;6;6;28;27;1
00003_00008.ppm;34;33;6;6;29;28;1
00003_00009.ppm;35;35;6;6;29;29;1
00003_00010.ppm;36;37;5;6;30;31;1
00003_00011.ppm;37;38;5;6;31;32;1
00003_00012.ppm;37;37;5;5;32;32;1
00003_00013.ppm;37;39;5;6;32;33;1
00003_00014.ppm;39;39;6;6;34;34;1
00003_00015.ppm;41;41;6;6;36;36;1
00003_00016.ppm;42;43;5;6;37;38;1
00003_00017.ppm;46;45;5;5;40;40;1
00003_00018.ppm;50;49;6;5;45;44;1
00003_00019.ppm;54;53;6;5;49;48;1
00003_00020.ppm;54;56;5;6;48;50;1
00003_00021.ppm;58;59;6;6;52;53;1
00003_00022.ppm;63;64;6;6;58;59;1
00003_00023.ppm;70;72;6;7;64;66;1
00003_00024.ppm;76;79;6;7;70;72;1
00003_00025.ppm;86;86;8;7;79;79;1
00003_00026.ppm;98;98;9;9;89;90;1
00003_00027.ppm;114;117;10;10;104;106;1
00003_00028.ppm;134;141;11;13;122;128;1
00003_00029.ppm;164;170;15;14;150;156;1
00004_00000.ppm;40;40;6;5;35;35;1
00004_00001.ppm;41;42;5;6;36;37;1
00004_00002.ppm;43;42;6;5;38;37;1
00004_00003.ppm;44;46;5;5;39;41;1
00004_00004.ppm;49;47;6;5;44;42;1
00004_00005.ppm;52;51;6;5;47;46;1
00004_00006.ppm;53;52;6;5;48;47;1
00004_00007.ppm;60;61;5;5;55;56;1
00004_00008.ppm;62;65;5;6;57;60;1
00004_00009.ppm;73;75;6;7;67;69;1
00004_00010.ppm;83;80;8;7;76;73;1
00004_00011.ppm;92;88;9;7;84;81;1
00004_00012.ppm;28;29;5;5;23;24;1
00004_00013.ppm;31;32;6;6;26;27;1
00004_00014.ppm;31;32;5;6;26;27;1
00004_00015.ppm;33;32;6;5;28;27;1
00004_00016.ppm;32;32;6;5;27;27;1
00004_00017.ppm;34;35;6;6;29;30;1
00004_00018.ppm;34;36;5;6;29;31;1
00004_00019.ppm;36;37;6;6;31;32;1
00004_00020.ppm;37;38;5;6;32;33;1
00004_00021.ppm;39;39;5;5;34;34;1
00004_00022.ppm;41;41;6;6;36;36;1
00004_00023.ppm;44;43;6;5;39;38;1
00004_00024.ppm;47;46;6;5;42;41;1
00004_00025.ppm;48;48;6;6;43;43;1
00004_00026.ppm;50;51;6;6;45;46;1
00004_00027.ppm;55;55;6;6;50;50;1
00004_00028.ppm;59;59;6;6;54;54;1
00004_00029.ppm;63;64;5;6;58;59;1
00005_00000.ppm;30;28;6;5;25;23;1
00005_00001.ppm;29;30;5;5;24;25;1
00005_00002.ppm;29;31;5;6;24;26;1
00005_00003.ppm;30;30;5;5;25;25;1
00005_00004.ppm;32;31;6;5;26;25;1
00005_00005.ppm;33;32;6;5;28;27;1
00005_00006.ppm;32;34;5;6;27;29;1
00005_00007.ppm;34;32;6;6;29;27;1
00005_00008.ppm;33;35;5;6;28;29;1
00005_00009.ppm;34;35;5;6;29;30;1
00005_00010.ppm;36;36;6;6;31;31;1
00005_00011.ppm;38;38;6;6;32;32;1
00005_00012.ppm;39;39;5;6;33;34;1
00005_00013.ppm;39;40;5;6;34;35;1
00005_00014.ppm;42;40;5;6;37;35;1
00005_00015.ppm;43;43;6;6;38;38;1
00005_00016.ppm;46;44;6;5;41;39;1
00005_00017.ppm;47;46;5;5;41;40;1
00005_00018.ppm;49;47;5;5;43;42;1
00005_00019.ppm;51;50;6;6;46;45;1
00005_00020.ppm;50;49;5;5;45;44;1
00005_00021.ppm;53;52;5;5;48;47;1
00005_00022.ppm;55;53;6;5;50;48;1
00005_00023.ppm;57;55;6;5;52;50;1
00005_00024.ppm;58;57;6;5;53;52;1
